Gene,ADL,AFD,AIN,AIY,ASEL,ASER
WBGene00000001,1.090996328,1.842334055,0.789641537,1.234419616,0.748326209,0.806561536
WBGene00000002,2.9461045,0.042158254,0.200254592,0.147439104,0.100095137,0.098500841
WBGene00000003,0.047414269,2.478152903,1.926263421,0.195796432,2.118861657,0.289496738
WBGene00000004,0.791392675,3.435601166,0.508031823,0.245338182,0.602400059,0.232584551
WBGene00000005,0.452244012,4.50323813,0.557196366,0.742412015,0.367447258,0.334475441
WBGene00000006,0.375893997,0.727646758,0.839178843,2.538593974,0.987524791,0.717108454
WBGene00000007,8.55236824,0.357778507,0.368256639,0.475073606,0.256952453,0.350085881
WBGene00000008,0.5776003,0.376338637,0.740933795,1.402776452,0,0
WBGene00000009,0.817529276,0.8646997,0.521119488,0.526176283,0.442214568,0.823175368
WBGene00000010,1.032421902,2.859360543,3.035056225,0.367620862,1.298220015,2.015310606
WBGene00000012,0,0,0,0,0,0
WBGene00000013,0.874098162,0,0.691518103,0.525258751,0.413990274,0.662567379
WBGene00000014,0.475778897,0,0.095725403,0,0,0
WBGene00000015,0.427207738,0,2.14215194,0,0,2.099229326
WBGene00000016,0.725904849,4.250238264,0.624507022,1.108100065,1.312724484,1.020017871
WBGene00000017,0.389565948,3.444373698,1.029970264,1.463826817,6.973569786,0.938282253
WBGene00000018,0.319628825,0.174051186,0.41438076,0.90344543,0.936900235,1.866093043
WBGene00000019,0.167842919,0.070489706,0.063013203,0.109657702,0.060263421,0.043704121
WBGene00000020,4.855758464,0.289391087,1.22133449,1.209220528,0.049705291,0.367424531
WBGene00000021,0,1.292689351,2.898643215,0,0,0
WBGene00000022,0.201122354,16.6075589,0.283978024,0.341374536,0.301789712,0.225032217
WBGene00000023,0.168195435,0.124145303,0.105640715,2.597862054,2.868621336,0.16185099
WBGene00000024,0.404067701,0.381992255,0.399301108,2.450590838,7.790149727,0.440333847
WBGene00000025,0.689515554,0.57288401,0,0,0,0
WBGene00000026,0,0,0,0,0,0
WBGene00000027,1.059029218,0,0.561369295,2.409375569,0.600582277,0.838453882
WBGene00000028,0,0,0,0,9.894768354,0
WBGene00000029,0.743070417,0.592030689,1.666906439,1.610664714,0.648829334,0.927438005
WBGene00000030,0,0.499528922,0,1.313457027,0,0
WBGene00000031,0.355796534,0.441856139,3.056291103,0.761577176,0.398098081,1.944264349
WBGene00000032,0,0,0.99490758,0,0,0
WBGene00000033,0.465013825,0.704794467,0.691968874,0.874922801,0.667763326,0.796850692
WBGene00000034,0.207596086,1.361759867,0.179836889,0.402054833,0.275573983,0.914481416
WBGene00000035,0.290638993,0.173054347,0.262130743,0.465163287,0.412608189,1.248388246
WBGene00000036,0.065026895,0.047786423,0.134952637,0.121096555,0.101877565,0.129688336
WBGene00000037,0.12065259,0.111675173,0.160219182,1.810241144,0.491093846,0.260412686
WBGene00000038,0.063326049,0.058456843,0.297903957,0.923837434,0.187600395,0.707266571
WBGene00000039,0.531680898,0.692622004,0.659901929,1.041105603,0.828965627,0.851931641
WBGene00000040,0.529906577,0.541481864,0.597110851,1.145279925,1.564775627,1.330426046
WBGene00000041,0.45571325,3.084168633,0.957167806,1.022364262,0.697301281,0.933042456
WBGene00000042,0.102252698,0.070026733,1.531622649,0.205229979,0.306890018,0.110119427
WBGene00000043,0.015295594,0.058321788,0.015048348,0.014768904,0.010887465,0.065812499
WBGene00000044,0.269913641,0.013830528,0.064241989,0.032303495,0.782988433,0.39951324
WBGene00000045,0.018571593,0.097168828,0.099086194,0.007728576,0.003786744,0.017029287
WBGene00000046,1.165144702,1.067006539,0.336530017,1.717020371,0.605657924,0.709640374
WBGene00000047,0.622029426,0.454130909,0.159046373,0.076683815,0.047012218,0.110198089
WBGene00000048,0.011815322,0.005736341,0.019306914,0.040647834,0.012195908,0.02753822
WBGene00000049,0.176103691,0.209612057,0.222225596,0.206369374,0.099876971,0.142196404
WBGene00000050,0.696230543,0.560480005,0.751500335,0.56702745,0,0.134941556
WBGene00000051,0.083354804,0.579643374,1.985863783,0.649741234,0.695629037,0.245409364
WBGene00000053,0.032137061,0.14058861,0.03544499,0.004074959,0.1370842,0.024235672
WBGene00000054,0.006041761,0.038048541,0.107205161,0.162189232,0.003035139,0.097233506
WBGene00000055,0.01061878,0.009071222,0.027836303,0.150462917,0.015329156,0.030313998
WBGene00000056,0.01524173,0.015825757,0.057369172,0.032740505,0.070894854,0.369444015
WBGene00000057,0.39227934,0.022259273,0.889441105,0.222378667,0.589086869,0.264014265
WBGene00000058,0.054047551,0.066719352,0.375409198,0.087456118,0.061660095,0.092780914
WBGene00000059,0.049251773,0.02285211,1.46253114,0.051442794,0.048595374,0.066410172
WBGene00000060,0.037042122,0.090394092,1.742635786,3.747328469,0.291469598,0.079050885
WBGene00000061,0.135069611,0.015022182,0.02163869,0.327214297,0.627368758,0.059364227
WBGene00000062,0.141382833,0.046352118,0.836254231,0.048750993,0.166595172,0.360086712
WBGene00000063,0.768977297,0.716717869,1.355795589,1.047662888,0.210870701,0.705020148
WBGene00000064,0.675550166,0.429208346,1.083638622,1.144428435,0.802150922,2.612811678
WBGene00000065,0.566341496,0.483072631,1.145474155,0.560898169,0.67058744,0.668975305
WBGene00000066,0.424028124,0.988454754,1.399666356,0.699139497,0.717652903,0.630096546
WBGene00000067,0.253396148,0.212357447,4.845565239,0.354373973,0.371263248,0.319292956
WBGene00000068,0.483761953,0.292991853,1.071351555,0.123029079,0.232583155,0.289687879
WBGene00000069,0.772641721,0.274516551,0.081537451,0.142575059,0.048934593,0.184620313
WBGene00000070,0.064304545,0.738876334,8.482019465,0.115710444,0.08159021,0.092144309
WBGene00000071,0.033751994,2.41118462,0.244780113,0.089342728,0.055574451,0.172498201
WBGene00000072,0.05913489,1.523857304,1.5948382,2.927741408,0.74355343,0.418604919
WBGene00000073,1.274343603,2.909069491,0.139283642,0.326711836,0.101710735,0.707342325
WBGene00000074,0.675800271,0.404164854,0.400857787,0.438323734,0.295246684,0.112446099
WBGene00000075,0.402369648,0.272888224,1.564159928,0.395858304,0.220162498,1.243867766
WBGene00000079,0.843217668,0.052271308,0.921895129,2.653159568,0.278600683,0.425648318
WBGene00000080,0.539335264,1.1844632,0.719504767,0.393819796,0.508125121,0.969901825
WBGene00000081,0.994440878,0.239313904,1.136161214,1.128889982,0.315124447,0.336077015
WBGene00000082,1.817488805,0.734184461,0.811183923,1.421284716,1.167930092,0.874883563
WBGene00000083,0.475137758,4.498343562,0.739667842,0.602595461,0.648700926,0.685891017
WBGene00000084,0.536931742,0.418980088,0.361570356,0.46674994,0.122964335,0.209826201
WBGene00000085,0.019982039,0.051800378,1.685422515,1.584763209,0.994030603,2.18996012
WBGene00000086,1.15474928,0.36336501,0.766399765,0.442649887,1.046024915,0.907721804
WBGene00000088,2.587795334,0.047061567,0.077493861,0.177314039,1.039841619,0.015860552
WBGene00000089,1.20382008,1.12410801,2.142646156,1.289997242,1.096179386,1.182192035
WBGene00000090,0.799248266,0.58268264,1.428708551,0.514689326,2.771618224,0.259128423
WBGene00000092,0.283918768,0.040102495,0.084134847,0.172382097,0.098875421,0.079760058
WBGene00000093,0.447342244,0.375919863,0.54669161,1.72204738,0.378815154,1.318456613
WBGene00000094,1.140396826,1.69281601,2.011368899,0.405717606,0.790367241,0.721399273
WBGene00000095,0.717523784,1.456454511,0.695252717,1.939980911,0.031980167,2.449172475
WBGene00000096,0.05230225,0.012535979,0.043279211,0.012725987,0.02888183,0.038305439
WBGene00000097,1.043840065,1.211851692,0.518904531,1.572271178,0.681995485,1.228756131
WBGene00000098,1.158585508,0.214005893,3.862733206,0.718096054,0.244731839,1.027244204
WBGene00000099,8.945937088,2.560146334,0.663198379,0.842777518,0.785838183,0.39486106
WBGene00000100,1.302451333,1.532823544,0.516846206,0.144190033,1.979752426,0.683143777
WBGene00000101,1.114050289,0.40993515,0.520803633,0.716415773,0.778737641,3.26896713
WBGene00000102,0.719668885,3.498132501,0.967434968,1.514858219,1.418004742,4.248463387
WBGene00000103,0.962395642,0.27442339,1.839123302,1.614610304,0.039698997,0.820612546
