Gene ID,Expression level
WBGene00000001,4.841
WBGene00000002,0
WBGene00000003,10.84
WBGene00000004,13.432
WBGene00000005,0
WBGene00000006,45.77
WBGene00000007,0
WBGene00000008,0
WBGene00000009,0
WBGene00000010,9.392
WBGene00000012,3.344
WBGene00000013,0.354
WBGene00000014,0
WBGene00000015,0
WBGene00000016,1.749
WBGene00000017,0
WBGene00000018,18.832
WBGene00000019,0
WBGene00000020,0.191
WBGene00000021,0
WBGene00000022,0
WBGene00000023,0
WBGene00000024,2.192
WBGene00000025,0
WBGene00000026,0
WBGene00000027,1.545
WBGene00000028,0
WBGene00000029,0
WBGene00000030,1.209
WBGene00000031,0.408
WBGene00000032,0
WBGene00000033,9.802
WBGene00000034,24.226
WBGene00000035,28.889
WBGene00000036,3.485
WBGene00000037,8.006
WBGene00000038,0
WBGene00000039,9.802
WBGene00000040,0.909
WBGene00000041,281.863
WBGene00000042,0.175
WBGene00000043,1.84
WBGene00000044,0
WBGene00000045,0.058
WBGene00000046,0.386
WBGene00000047,19.082
WBGene00000048,1.687
WBGene00000049,0
WBGene00000050,0
WBGene00000051,0
WBGene00000053,0.104
WBGene00000054,64.272
WBGene00000055,24.093
WBGene00000056,0.913
WBGene00000057,14.79
WBGene00000058,0
WBGene00000059,0
WBGene00000060,0.255
WBGene00000061,0
WBGene00000062,4.508
WBGene00000063,9989.334
WBGene00000064,1160.013
WBGene00000065,6239.761
WBGene00000066,26831.8
WBGene00000067,9.967
WBGene00000068,20.333
WBGene00000069,0
WBGene00000070,43.15
WBGene00000071,0
WBGene00000072,7.945
WBGene00000073,11.068
WBGene00000074,0.527
WBGene00000075,0.433
WBGene00000079,13.022
WBGene00000080,5.443
WBGene00000081,0.111
WBGene00000082,0
WBGene00000083,18.985
WBGene00000084,0
WBGene00000085,0
WBGene00000086,0.061
WBGene00000088,14.997
WBGene00000089,10.75
WBGene00000090,1.968
WBGene00000092,42.437
WBGene00000093,7.028
WBGene00000094,10.761
WBGene00000095,8.085
WBGene00000096,0
WBGene00000097,80.851
WBGene00000098,17.658
WBGene00000099,0
WBGene00000100,0.091
WBGene00000101,4.75
WBGene00000102,17.186
WBGene00000103,0.68
WBGene00000105,36.514
WBGene00000106,5.613
WBGene00000107,91.585
WBGene00000108,1.517
WBGene00000109,7.684
WBGene00000110,11.533
WBGene00000111,0
WBGene00000112,76.111
WBGene00000113,4.866
WBGene00000114,629.506
WBGene00000115,17.111
WBGene00000116,2.202
WBGene00000117,1.386
WBGene00000118,142.357
WBGene00000120,10.309
WBGene00000121,12.399
WBGene00000122,20.92
WBGene00000123,9.036
WBGene00000133,0
WBGene00000134,11.086
WBGene00000135,4.751
WBGene00000136,0
WBGene00000137,0
WBGene00000138,0
WBGene00000139,13.536
WBGene00000140,318.89
WBGene00000142,13.283
WBGene00000143,12.577
WBGene00000144,0
WBGene00000145,4.077
WBGene00000146,15.594
WBGene00000147,7.082
WBGene00000148,31.047
WBGene00000149,22.224
WBGene00000150,4.94
WBGene00000151,10.226
WBGene00000155,11.985
WBGene00000156,2.918
WBGene00000157,19.25
WBGene00000158,2.746
WBGene00000159,20.404
WBGene00000160,18.555
WBGene00000161,19.763
WBGene00000162,11.767
WBGene00000163,3.845
WBGene00000164,24.67
WBGene00000165,2.724
WBGene00000166,12.021
WBGene00000168,0.251
WBGene00000169,4.243
WBGene00000170,251.426
WBGene00000171,0
WBGene00000172,0
WBGene00000173,0
WBGene00000174,0
WBGene00000175,278.033
WBGene00000176,6.661
WBGene00000177,31.119
WBGene00000178,6.312
WBGene00000179,17.314
WBGene00000180,21.969
WBGene00000181,123.7
WBGene00000182,63.467
WBGene00000183,142.999
WBGene00000184,47.204
WBGene00000185,0
WBGene00000186,26.772
WBGene00000187,11.336
WBGene00000188,12.984
WBGene00000189,10.631
WBGene00000190,0
WBGene00000191,0
WBGene00000192,28.319
WBGene00000193,0
WBGene00000195,24.135
WBGene00000196,30.546
WBGene00000197,30.558
WBGene00000198,33.318
WBGene00000199,42.276
WBGene00000200,26.658
WBGene00000201,42.376
WBGene00000202,0.91
WBGene00000203,11.028
WBGene00000204,14.599
WBGene00000205,3.538
WBGene00000206,14.577
WBGene00000207,637.775
WBGene00000208,11.775
WBGene00000209,183.082
WBGene00000210,829.143
WBGene00000211,22.019
WBGene00000212,0
WBGene00000213,0
WBGene00000214,20.234
WBGene00000215,11.602
WBGene00000216,15.154
WBGene00000217,1413.521
WBGene00000218,15.026
WBGene00000219,32.992
WBGene00000220,13.027
WBGene00000221,303.698
WBGene00000222,3.739
WBGene00000223,54.14
WBGene00000224,48.256
WBGene00000225,27.694
WBGene00000226,6.935
WBGene00000227,0
WBGene00000228,480.569
WBGene00000229,1466.852
WBGene00000230,825.272
WBGene00000231,26.996
WBGene00000232,17.573
WBGene00000233,8.031
WBGene00000235,39.275
WBGene00000236,10.417
WBGene00000237,3.262
WBGene00000238,1.872
WBGene00000239,1.553
WBGene00000240,8.304
WBGene00000241,0
WBGene00000242,1.477
WBGene00000244,9.802
WBGene00000245,23.67
WBGene00000246,0
WBGene00000247,11.196
WBGene00000248,2.294
WBGene00000249,8.422
WBGene00000250,0.075
WBGene00000251,3.182
WBGene00000252,61.249
WBGene00000253,1.022
WBGene00000254,15.41
WBGene00000255,0.255
WBGene00000256,193.595
WBGene00000257,0
WBGene00000259,3.674
WBGene00000262,0.514
WBGene00000263,936.131
WBGene00000264,0
WBGene00000265,0
WBGene00000266,14.007
WBGene00000267,0
WBGene00000268,19.798
WBGene00000269,6.007
WBGene00000270,1.792
WBGene00000271,4
WBGene00000272,0.177
WBGene00000273,17.629
WBGene00000274,1.478
WBGene00000275,0
WBGene00000276,48.309
WBGene00000277,151.72
WBGene00000279,0.082
WBGene00000280,0.957
WBGene00000281,62.929
WBGene00000282,142.977
WBGene00000283,39.656
WBGene00000284,13.4
WBGene00000285,57.597
WBGene00000286,50.803
WBGene00000287,0
WBGene00000288,14.023
WBGene00000289,37.814
WBGene00000292,74.26
WBGene00000293,89.606
WBGene00000294,228.33
WBGene00000295,10.912
WBGene00000296,0
WBGene00000298,4.825
WBGene00000301,0
WBGene00000302,7.106
WBGene00000308,0
WBGene00000366,11.816
WBGene00000367,7.141
WBGene00000368,38.902
WBGene00000369,17.51
WBGene00000370,1167.437
WBGene00000371,999.477
WBGene00000372,0
WBGene00000373,0
WBGene00000374,12.441
WBGene00000375,1.437
WBGene00000376,3.578
WBGene00000377,110.074
WBGene00000378,75.378
WBGene00000379,167.662
WBGene00000380,255.429
WBGene00000381,107.29
WBGene00000382,8.252
WBGene00000383,52.538
WBGene00000386,0.539
WBGene00000387,0
WBGene00000388,0
WBGene00000389,0
WBGene00000390,78.862
WBGene00000391,0
WBGene00000392,10.992
WBGene00000393,13.658
WBGene00000395,0
WBGene00000396,10.563
WBGene00000397,0
WBGene00000399,2.745
WBGene00000401,0.113
WBGene00000402,0
WBGene00000403,62.032
WBGene00000405,24.683
WBGene00000406,1.135
WBGene00000407,24.387
WBGene00000408,26.634
WBGene00000409,10.766
WBGene00000410,13.395
WBGene00000411,0
WBGene00000412,0
WBGene00000413,0
WBGene00000414,7.281
WBGene00000415,17.751
WBGene00000416,5.235
WBGene00000417,0.231
WBGene00000418,0.832
WBGene00000419,1.149
WBGene00000420,2.979
WBGene00000421,6.844
WBGene00000422,0
WBGene00000423,10.553
WBGene00000424,21.726
WBGene00000425,0.07
WBGene00000426,10.129
WBGene00000427,0
WBGene00000428,1.844
WBGene00000429,0
WBGene00000430,0.349
WBGene00000431,0.053
WBGene00000432,0
WBGene00000433,6.895
WBGene00000434,0
WBGene00000435,0
WBGene00000436,1.146
WBGene00000437,29.615
WBGene00000438,0
WBGene00000439,0.587
WBGene00000440,0
WBGene00000441,14.062
WBGene00000442,0
WBGene00000443,18.21
WBGene00000444,0.512
WBGene00000445,0
WBGene00000446,0
WBGene00000447,0.133
WBGene00000448,24.353
WBGene00000449,3.948
WBGene00000450,0
WBGene00000451,0
WBGene00000452,0
WBGene00000453,0
WBGene00000454,28.181
WBGene00000455,74.731
WBGene00000457,0
WBGene00000458,0
WBGene00000459,17.612
WBGene00000460,0.133
WBGene00000461,0
WBGene00000462,8.017
WBGene00000463,0.076
WBGene00000464,11.107
WBGene00000465,0.105
WBGene00000466,24.256
WBGene00000467,0
WBGene00000468,0
WBGene00000469,0.09
WBGene00000472,1110.253
WBGene00000473,1.792
WBGene00000474,1.765
WBGene00000475,356.641
WBGene00000476,4.203
WBGene00000477,0
WBGene00000478,3.61
WBGene00000479,3.048
WBGene00000480,11.188
WBGene00000481,15.075
WBGene00000482,18.573
WBGene00000483,0
WBGene00000484,0
WBGene00000485,0
WBGene00000487,0
WBGene00000488,0.268
WBGene00000490,0
WBGene00000491,0
WBGene00000492,0
WBGene00000493,0
WBGene00000496,0.497
WBGene00000497,0
WBGene00000498,0
WBGene00000499,0
WBGene00000500,26.991
WBGene00000501,1.551
WBGene00000502,36.908
WBGene00000503,0
WBGene00000506,7.615
WBGene00000507,4.091
WBGene00000508,6.259
WBGene00000509,10.106
WBGene00000510,125.962
WBGene00000511,23.282
WBGene00000512,1.345
WBGene00000513,0
WBGene00000514,29.095
WBGene00000515,4.341
WBGene00000516,1.866
WBGene00000517,2.942
WBGene00000518,15.567
WBGene00000519,0.509
WBGene00000520,0
WBGene00000521,0
WBGene00000522,0
WBGene00000523,0
WBGene00000524,4.924
WBGene00000525,0
WBGene00000526,0.195
WBGene00000527,12.021
WBGene00000528,0
WBGene00000529,40.35
WBGene00000530,0
WBGene00000531,0
WBGene00000532,7.071
WBGene00000533,0.833
WBGene00000534,209.366
WBGene00000535,520.139
WBGene00000536,27.505
WBGene00000537,11.723
WBGene00000539,0
WBGene00000540,0.122
WBGene00000541,0.263
WBGene00000542,96.307
WBGene00000543,0.657
WBGene00000544,0
WBGene00000545,21.505
WBGene00000546,0
WBGene00000547,3.238
WBGene00000548,22.529
WBGene00000549,3.558
WBGene00000550,78.533
WBGene00000551,0
WBGene00000552,355.347
WBGene00000553,6.718
WBGene00000554,52.142
WBGene00000555,0
WBGene00000556,6.59
WBGene00000557,7.647
WBGene00000558,0
WBGene00000560,0
WBGene00000561,0
WBGene00000562,0
WBGene00000563,0
WBGene00000564,1.697
WBGene00000565,18.854
WBGene00000566,9.058
WBGene00000567,21.057
WBGene00000583,0.445
WBGene00000584,0
WBGene00000585,20.004
WBGene00000591,0.574
WBGene00000592,0
WBGene00000593,12.308
WBGene00000594,58.641
WBGene00000596,1.786
WBGene00000597,10.419
WBGene00000598,0.107
WBGene00000599,0.666
WBGene00000601,11.245
WBGene00000602,21.366
WBGene00000603,80.069
WBGene00000606,23.152
WBGene00000608,285.915
WBGene00000609,239.6
WBGene00000610,0.181
WBGene00000611,2.453
