Gene ID,Expression level
WBGene00000001,6.779
WBGene00000002,8.977
WBGene00000003,4.349
WBGene00000004,3.892
WBGene00000005,0
WBGene00000006,1.641
WBGene00000007,0
WBGene00000008,0
WBGene00000009,0.006
WBGene00000010,3.542
WBGene00000012,0
WBGene00000013,22.769
WBGene00000014,0
WBGene00000015,1.953
WBGene00000016,8.605
WBGene00000017,21.696
WBGene00000018,7.007
WBGene00000019,0
WBGene00000020,2.328
WBGene00000021,0
WBGene00000022,0
WBGene00000023,0
WBGene00000024,26.321
WBGene00000025,0.006
WBGene00000026,0
WBGene00000027,0.708
WBGene00000028,0
WBGene00000029,0
WBGene00000030,4.08
WBGene00000031,4.002
WBGene00000032,0
WBGene00000033,15.329
WBGene00000034,11.151
WBGene00000035,0.281
WBGene00000036,6.44
WBGene00000037,0.913
WBGene00000038,0
WBGene00000039,75.251
WBGene00000040,79.371
WBGene00000041,42.21
WBGene00000042,26.368
WBGene00000043,30.618
WBGene00000044,0
WBGene00000045,5.046
WBGene00000046,0.02
WBGene00000047,0
WBGene00000048,0.377
WBGene00000049,0.819
WBGene00000050,1.899
WBGene00000051,19.147
WBGene00000053,9.359
WBGene00000054,6.702
WBGene00000055,0.167
WBGene00000056,0.284
WBGene00000057,4.082
WBGene00000058,0.949
WBGene00000059,0.224
WBGene00000060,4.848
WBGene00000061,0
WBGene00000062,0
WBGene00000063,327.385
WBGene00000064,262.441
WBGene00000065,266.088
WBGene00000066,1194.057
WBGene00000067,23.841
WBGene00000068,7.5
WBGene00000069,5.843
WBGene00000070,2.508
WBGene00000071,2.389
WBGene00000072,4.246
WBGene00000073,54.307
WBGene00000074,6.835
WBGene00000075,6.557
WBGene00000079,10.761
WBGene00000080,12.124
WBGene00000081,2.47
WBGene00000082,2.531
WBGene00000083,40.169
WBGene00000084,10.757
WBGene00000085,0.266
WBGene00000086,20.774
WBGene00000088,5.386
WBGene00000089,31.956
WBGene00000090,2.89
WBGene00000092,19.579
WBGene00000093,4.915
WBGene00000094,24.128
WBGene00000095,11.268
WBGene00000096,0
WBGene00000097,184.332
WBGene00000098,0.539
WBGene00000099,1.42
WBGene00000100,71.525
WBGene00000101,13.218
WBGene00000102,27.456
WBGene00000103,11.015
WBGene00000105,23.722
WBGene00000106,9.899
WBGene00000107,130.444
WBGene00000108,0
WBGene00000109,207.676
WBGene00000110,99.273
WBGene00000111,4.838
WBGene00000112,78.087
WBGene00000113,4.265
WBGene00000114,260.321
WBGene00000115,195.445
WBGene00000116,192.188
WBGene00000117,7.908
WBGene00000118,11.45
WBGene00000120,8.918
WBGene00000121,16.892
WBGene00000122,46.761
WBGene00000123,9.64
WBGene00000133,0.806
WBGene00000134,1.649
WBGene00000135,9.629
WBGene00000136,2.739
WBGene00000137,2.022
WBGene00000138,20.491
WBGene00000139,6.709
WBGene00000140,277.58
WBGene00000142,26.738
WBGene00000143,7.413
WBGene00000144,9.246
WBGene00000145,14.828
WBGene00000146,23.447
WBGene00000147,16.179
WBGene00000148,9.119
WBGene00000149,128.055
WBGene00000150,38.891
WBGene00000151,9.917
WBGene00000155,23.729
WBGene00000156,16.266
WBGene00000157,54.94
WBGene00000158,10.994
WBGene00000159,31.97
WBGene00000160,42.327
WBGene00000161,38.084
WBGene00000162,10.101
WBGene00000163,33.36
WBGene00000164,43.325
WBGene00000165,1.544
WBGene00000166,10.95
WBGene00000168,0.692
WBGene00000169,0.184
WBGene00000170,31.956
WBGene00000171,0
WBGene00000172,0.08
WBGene00000173,0.043
WBGene00000174,2.025
WBGene00000175,398.656
WBGene00000176,242.133
WBGene00000177,2.914
WBGene00000178,37.898
WBGene00000179,25.148
WBGene00000180,26.929
WBGene00000181,97.497
WBGene00000182,194.868
WBGene00000183,233.928
WBGene00000184,15.842
WBGene00000185,0
WBGene00000186,22.488
WBGene00000187,45.923
WBGene00000188,24.784
WBGene00000189,12.809
WBGene00000190,12.918
WBGene00000191,1.583
WBGene00000192,42.692
WBGene00000193,0.592
WBGene00000195,0.371
WBGene00000196,7.906
WBGene00000197,45.499
WBGene00000198,46.081
WBGene00000199,16.87
WBGene00000200,11.482
WBGene00000201,41.473
WBGene00000202,0.055
WBGene00000203,12.366
WBGene00000204,13.1
WBGene00000205,11.801
WBGene00000206,31.428
WBGene00000207,376.681
WBGene00000208,25.307
WBGene00000209,73.499
WBGene00000210,495.497
WBGene00000211,9.937
WBGene00000212,0
WBGene00000213,0
WBGene00000214,59.892
WBGene00000215,0.95
WBGene00000216,49.24
WBGene00000217,178.355
WBGene00000218,18.775
WBGene00000219,34.688
WBGene00000220,22.937
WBGene00000221,459.235
WBGene00000222,7.585
WBGene00000223,38.301
WBGene00000224,23.102
WBGene00000225,18.092
WBGene00000226,2.322
WBGene00000227,1.829
WBGene00000228,11.205
WBGene00000229,552.728
WBGene00000230,557.437
WBGene00000231,20.952
WBGene00000232,9.487
WBGene00000233,17.509
WBGene00000235,41.241
WBGene00000236,22.355
WBGene00000237,4.633
WBGene00000238,21.375
WBGene00000239,16.887
WBGene00000240,744.265
WBGene00000241,0.118
WBGene00000242,8.601
WBGene00000244,7.008
WBGene00000245,37.983
WBGene00000246,17.602
WBGene00000247,21.602
WBGene00000248,46.37
WBGene00000249,10.731
WBGene00000250,4.88
WBGene00000251,187.745
WBGene00000252,994.963
WBGene00000253,21.537
WBGene00000254,43.384
WBGene00000255,29.83
WBGene00000256,7102.18
WBGene00000257,1.077
WBGene00000259,32.403
WBGene00000262,3.175
WBGene00000263,536.709
WBGene00000264,4.005
WBGene00000265,0.123
WBGene00000266,31.409
WBGene00000267,0.044
WBGene00000268,22.595
WBGene00000269,10.038
WBGene00000270,6.787
WBGene00000271,8.404
WBGene00000272,0.06
WBGene00000273,296.672
WBGene00000274,11.239
WBGene00000275,0.05
WBGene00000276,17.234
WBGene00000277,268.464
WBGene00000279,9.999
WBGene00000280,7.233
WBGene00000281,34.02
WBGene00000282,587.862
WBGene00000283,4.136
WBGene00000284,16.262
WBGene00000285,4.993
WBGene00000286,31.183
WBGene00000287,3.144
WBGene00000288,17.832
WBGene00000289,16.317
WBGene00000292,49.732
WBGene00000293,84.558
WBGene00000294,32.491
WBGene00000295,1.554
WBGene00000296,1.174
WBGene00000298,146.87
WBGene00000301,2.256
WBGene00000302,3.144
WBGene00000308,0
WBGene00000366,18.664
WBGene00000367,2.677
WBGene00000368,15.202
WBGene00000369,34.593
WBGene00000370,146.626
WBGene00000371,625.698
WBGene00000372,0.077
WBGene00000373,71.665
WBGene00000374,11.946
WBGene00000375,32.644
WBGene00000376,34.317
WBGene00000377,44.538
WBGene00000378,44.305
WBGene00000379,63.144
WBGene00000380,130.388
WBGene00000381,27.307
WBGene00000382,1.098
WBGene00000383,14.736
WBGene00000386,6.781
WBGene00000387,2.801
WBGene00000388,3.323
WBGene00000389,0.328
WBGene00000390,33.512
WBGene00000391,11.697
WBGene00000392,17.614
WBGene00000393,11.567
WBGene00000395,0.356
WBGene00000396,15.621
WBGene00000397,0.919
WBGene00000399,96.652
WBGene00000401,4.295
WBGene00000402,29.261
WBGene00000403,134.419
WBGene00000405,1.128
WBGene00000406,0.196
WBGene00000407,62.978
WBGene00000408,33.772
WBGene00000409,29.098
WBGene00000410,16.332
WBGene00000411,5.026
WBGene00000412,10.553
WBGene00000413,1.442
WBGene00000414,33.378
WBGene00000415,41.034
WBGene00000416,5.892
WBGene00000417,0.046
WBGene00000418,10.274
WBGene00000419,10.578
WBGene00000420,15.618
WBGene00000421,16.869
WBGene00000422,2.374
WBGene00000423,1.118
WBGene00000424,14.018
WBGene00000425,7.749
WBGene00000426,16.24
WBGene00000427,0
WBGene00000428,0
WBGene00000429,4.446
WBGene00000430,0.083
WBGene00000431,11.431
WBGene00000432,0
WBGene00000433,15.534
WBGene00000434,11.837
WBGene00000435,4.852
WBGene00000436,10.414
WBGene00000437,17.296
WBGene00000438,0.602
WBGene00000439,0
WBGene00000440,0
WBGene00000441,32.6
WBGene00000442,9.729
WBGene00000443,26.369
WBGene00000444,2.249
WBGene00000445,0
WBGene00000446,10.007
WBGene00000447,1.006
WBGene00000448,0.294
WBGene00000449,6.618
WBGene00000450,0
WBGene00000451,8.907
WBGene00000452,10.889
WBGene00000453,1.32
WBGene00000454,0.315
WBGene00000455,8.971
WBGene00000457,0.361
WBGene00000458,7.265
WBGene00000459,9.542
WBGene00000460,9.08
WBGene00000461,0.237
WBGene00000462,5.198
WBGene00000463,3.096
WBGene00000464,36.847
WBGene00000465,2.862
WBGene00000466,36.18
WBGene00000467,2.531
WBGene00000468,0
WBGene00000469,1.743
WBGene00000472,245.152
WBGene00000473,11.956
WBGene00000474,2.624
WBGene00000475,162.516
WBGene00000476,11.175
WBGene00000477,2.397
WBGene00000478,0.59
WBGene00000479,13.905
WBGene00000480,30.772
WBGene00000481,6.047
WBGene00000482,14.315
WBGene00000483,0
WBGene00000484,1.684
WBGene00000485,8.969
WBGene00000487,0
WBGene00000488,0.711
WBGene00000490,4.799
WBGene00000491,9.243
WBGene00000492,9.121
WBGene00000493,10.52
WBGene00000496,0
WBGene00000497,1.02
WBGene00000498,1.063
WBGene00000499,0
WBGene00000500,15.464
WBGene00000501,102.25
WBGene00000502,33.37
WBGene00000503,0
WBGene00000506,18.621
WBGene00000507,4.05
WBGene00000508,12.877
WBGene00000509,17.875
WBGene00000510,20.597
WBGene00000511,17.783
WBGene00000512,26.572
WBGene00000513,0
WBGene00000514,37.741
WBGene00000515,14.417
WBGene00000516,11.123
WBGene00000517,4.712
WBGene00000518,16.904
WBGene00000519,3.442
WBGene00000520,3.948
WBGene00000521,0.156
WBGene00000522,12.278
WBGene00000523,17.775
WBGene00000524,8.933
WBGene00000525,0.025
WBGene00000526,14.945
WBGene00000527,50.168
WBGene00000528,43.289
WBGene00000529,5.402
WBGene00000530,0.197
WBGene00000531,2.523
WBGene00000532,15.721
WBGene00000533,1.075
WBGene00000534,366.135
WBGene00000535,1101.822
WBGene00000536,33.505
WBGene00000537,5.561
WBGene00000539,3.844
WBGene00000540,7.588
WBGene00000541,0.371
WBGene00000542,127.924
WBGene00000543,2.482
WBGene00000544,0
WBGene00000545,34.161
WBGene00000546,0
WBGene00000547,79.696
WBGene00000548,7.825
WBGene00000549,7.239
WBGene00000550,20.988
WBGene00000551,0
WBGene00000552,382.633
WBGene00000553,10.955
WBGene00000554,54.455
WBGene00000555,1.475
WBGene00000556,171.039
WBGene00000557,441.476
WBGene00000558,366.033
WBGene00000560,51.763
WBGene00000561,0
WBGene00000562,2.672
WBGene00000563,0
WBGene00000564,0.942
WBGene00000565,4.128
WBGene00000566,24.68
WBGene00000567,37.021
WBGene00000583,0.185
WBGene00000584,0.023
WBGene00000585,23.448
WBGene00000591,0.074
WBGene00000592,0
WBGene00000593,50.257
WBGene00000594,6640.644
WBGene00000596,847.857
WBGene00000597,624.503
WBGene00000598,0
WBGene00000599,232.867
WBGene00000601,2205.807
WBGene00000602,461.823
WBGene00000603,3468.774
WBGene00000606,725.261
WBGene00000608,4855.893
WBGene00000609,6122.817
WBGene00000610,5.471
WBGene00000611,77.139
WBGene00000612,7.163
WBGene00000613,219.934
WBGene00000614,16.057
WBGene00000615,6147.221
WBGene00000616,2841.993
WBGene00000617,56.328
WBGene00000618,287.532
WBGene00000620,163.712
WBGene00000621,11.71
WBGene00000622,0
WBGene00000623,96.415
WBGene00000624,17.834
WBGene00000625,199.606
WBGene00000626,2941.22
WBGene00000627,15.21
WBGene00000628,35.549
WBGene00000629,0
WBGene00000630,0.615
WBGene00000631,31.712
WBGene00000632,0
WBGene00000633,0
WBGene00000634,241.569
WBGene00000636,1218.283
WBGene00000637,16.172
WBGene00000638,423.47
WBGene00000639,2600.598
WBGene00000640,2.348
WBGene00000641,433.996
WBGene00000642,0
WBGene00000644,5.395
WBGene00000645,0
WBGene00000646,0
WBGene00000647,3612.206
WBGene00000648,4.169
WBGene00000649,1346.865
WBGene00000650,0
WBGene00000651,2.841
WBGene00000652,6.833
WBGene00000653,4748.925
WBGene00000654,0.067
WBGene00000655,32.378
WBGene00000656,5732.382
WBGene00000657,5889.585
WBGene00000658,0
WBGene00000659,13.12
WBGene00000660,29.112
WBGene00000661,0
WBGene00000662,0
WBGene00000663,316.728
WBGene00000664,30.708
WBGene00000665,949.34
WBGene00000666,779.93
WBGene00000667,51.072
WBGene00000668,7866.228
WBGene00000669,220.035
WBGene00000670,99.502
WBGene00000671,43.126
WBGene00000672,884.725
WBGene00000673,3609.694
WBGene00000674,0
WBGene00000675,459.459
WBGene00000676,7.154
WBGene00000677,3922.004
WBGene00000678,510.05
WBGene00000679,0.023
WBGene00000680,1743.041
WBGene00000681,2950.045
WBGene00000682,23.523
WBGene00000683,266.658
WBGene00000684,6.851
WBGene00000685,215.347
WBGene00000687,17.385
WBGene00000688,2.591
WBGene00000689,24.842
WBGene00000690,2.045
WBGene00000691,5822.023
WBGene00000692,112.004
WBGene00000693,3213.379
WBGene00000694,1250.257
WBGene00000695,0
WBGene00000696,7217.669
WBGene00000697,59.994
WBGene00000698,9942.554
WBGene00000699,5943.092
WBGene00000700,766.435
WBGene00000702,143.485
WBGene00000703,5507.236
WBGene00000704,1688.18
WBGene00000705,5.612
WBGene00000706,1.327
WBGene00000707,3795.245
WBGene00000708,0.581
WBGene00000710,120.003
WBGene00000711,1464.86
WBGene00000712,7633.327
WBGene00000713,7684.819
WBGene00000714,112.098
WBGene00000715,2407.35
WBGene00000716,970.653
WBGene00000717,342.716
WBGene00000718,1920.853
WBGene00000719,2128.071
WBGene00000720,3193.599
WBGene00000721,0.664
WBGene00000722,1565.053
WBGene00000723,1371.325
WBGene00000724,9.48
WBGene00000725,4.76
WBGene00000726,74.718
WBGene00000727,1636.245
WBGene00000728,1625.076
WBGene00000729,416.561
WBGene00000730,1469.889
WBGene00000731,145.062
WBGene00000732,6066.973
WBGene00000733,5594.518
WBGene00000734,3643.84
WBGene00000735,2216.801
WBGene00000736,0.094
WBGene00000737,1.522
WBGene00000738,0
WBGene00000739,3264.135
WBGene00000740,5175.628
WBGene00000741,1324.037
WBGene00000742,395.281
WBGene00000743,1020.986
WBGene00000745,1.094
WBGene00000746,61.087
WBGene00000747,4.723
WBGene00000748,4649.697
WBGene00000749,3289.915
WBGene00000750,3.627
WBGene00000751,4889.795
WBGene00000752,762.451
WBGene00000753,639.578
WBGene00000754,3559.729
WBGene00000755,378.953
WBGene00000756,102.086
WBGene00000757,4506.04
WBGene00000758,24.018
WBGene00000759,1.3
WBGene00000760,0
WBGene00000761,52.741
WBGene00000762,9.818
WBGene00000763,34.67
WBGene00000764,14.165
WBGene00000765,35.997
WBGene00000766,24.654
WBGene00000767,21.625
WBGene00000768,0.577
WBGene00000770,4.291
WBGene00000771,0
WBGene00000772,4.189
WBGene00000773,17.81
WBGene00000774,21.532
WBGene00000775,66.615
WBGene00000776,220.563
WBGene00000777,71.574
WBGene00000778,183.72
WBGene00000779,545.38
WBGene00000780,20.01
WBGene00000781,16.481
WBGene00000782,0
WBGene00000783,0.534
WBGene00000784,41.699
WBGene00000785,29.605
WBGene00000786,28.155
WBGene00000787,16.513
WBGene00000788,356.028
WBGene00000789,6.297
WBGene00000792,4.394
WBGene00000793,31.621
WBGene00000794,2.766
WBGene00000795,16.409
WBGene00000796,7.117
WBGene00000797,1.357
WBGene00000798,0.649
WBGene00000799,0
WBGene00000800,57.436
WBGene00000801,1.527
WBGene00000802,307.237
WBGene00000803,5.536
WBGene00000804,1.355
WBGene00000812,4.801
WBGene00000813,8.881
WBGene00000814,25.957
WBGene00000815,14.69
WBGene00000816,6.496
WBGene00000817,3.926
WBGene00000818,15.775
WBGene00000819,1.572
WBGene00000820,0.051
WBGene00000821,0
WBGene00000822,13.427
WBGene00000829,1969.839
WBGene00000831,18.001
WBGene00000832,15.342
WBGene00000833,375.004
WBGene00000834,25.46
WBGene00000835,201.722
WBGene00000836,17.469
WBGene00000837,21.717
WBGene00000838,8.351
WBGene00000839,8.271
WBGene00000840,7.394
WBGene00000841,1.348
WBGene00000843,29.317
WBGene00000845,4.022
WBGene00000846,9.402
WBGene00000851,0
WBGene00000853,2.294
WBGene00000854,44.447
WBGene00000857,4.769
WBGene00000858,16.694
WBGene00000859,4.821
WBGene00000860,0.368
WBGene00000861,0
WBGene00000862,8.881
WBGene00000863,1.101
WBGene00000864,0
WBGene00000865,0.138
WBGene00000866,0
WBGene00000867,0.968
WBGene00000868,0.666
WBGene00000869,48.255
WBGene00000870,0
WBGene00000871,0.006
WBGene00000872,17.554
WBGene00000874,22.037
WBGene00000875,5.278
WBGene00000876,13.585
WBGene00000877,55.628
WBGene00000878,1.991
WBGene00000879,235.891
WBGene00000880,3.698
WBGene00000881,282.173
WBGene00000882,307.282
WBGene00000883,771.926
WBGene00000884,32.432
WBGene00000885,4.518
WBGene00000886,8.462
WBGene00000887,13.597
WBGene00000888,8.811
WBGene00000889,23.538
WBGene00000890,9.344
WBGene00000891,15.748
WBGene00000892,2.14
WBGene00000893,6.74
WBGene00000894,52.055
WBGene00000895,20.752
WBGene00000896,89.441
WBGene00000897,10.121
WBGene00000898,3.061
WBGene00000899,3.139
WBGene00000900,2.719
WBGene00000901,20.162
WBGene00000902,19.002
WBGene00000903,12.047
WBGene00000904,10.502
WBGene00000905,28.683
WBGene00000906,10.903
WBGene00000907,1.128
WBGene00000908,18.118
WBGene00000910,22.265
WBGene00000911,13.062
WBGene00000912,39.716
WBGene00000913,4.337
WBGene00000914,0.887
WBGene00000915,619.56
WBGene00000917,13.24
WBGene00000920,51.806
WBGene00000923,11.593
WBGene00000928,451.843
WBGene00000929,86.314
WBGene00000930,790.401
WBGene00000931,17.296
WBGene00000932,4.147
WBGene00000933,20.676
WBGene00000934,26.493
WBGene00000935,5.189
WBGene00000936,3.597
WBGene00000937,0.525
WBGene00000938,37.502
WBGene00000939,8.683
WBGene00000940,9.516
WBGene00000941,78.097
WBGene00000942,28.793
WBGene00000950,1.478
WBGene00000951,1.138
WBGene00000952,9.395
WBGene00000953,7.962
WBGene00000955,1.784
WBGene00000958,2.134
WBGene00000959,56.418
WBGene00000960,0
WBGene00000961,5.105
WBGene00000962,35.429
WBGene00000963,90.013
WBGene00000964,19.29
WBGene00000965,10.079
WBGene00000966,4.017
WBGene00000967,0.089
WBGene00000968,141.746
WBGene00000969,32.325
WBGene00000970,66.841
WBGene00000971,0.379
WBGene00000972,20.842
WBGene00000973,9.204
WBGene00000974,2.887
WBGene00000975,22.199
WBGene00000976,16.451
WBGene00000977,6.948
WBGene00000978,6.331
WBGene00000979,4.453
WBGene00000980,16.953
WBGene00000981,100.037
WBGene00000982,79.594
WBGene00000983,15.43
WBGene00000984,798.531
WBGene00000985,17.335
WBGene00000986,20.012
WBGene00000987,5.761
WBGene00000988,86.481
WBGene00000989,0
WBGene00000990,33.643
